idx_process,dimension_size,Latency
2,4,0.13
3,4,0.25
4,4,0.13
5,4,0.25
6,4,0.31
7,4,0.42
8,4,0.95
9,4,1.08
10,4,1.07
11,4,1.13
12,4,1.27
13,4,1.25
14,4,1.39
15,4,1.39
16,4,1.55
17,4,1.94
18,4,1.89
19,4,1.92
20,4,2.09
21,4,2.05
22,4,2.16
23,4,2.15
24,4,2.33
25,4,2.28
26,4,2.34
27,4,2.51
28,4,2.64
29,4,2.54
30,4,2.86
31,4,2.70
32,4,3.19
33,4,3.70
34,4,3.58
35,4,3.76
36,4,3.56
37,4,3.56
38,4,3.73
39,4,4.17
40,4,3.92
41,4,3.92
42,4,3.98
43,4,4.12
44,4,4.31
45,4,4.29
46,4,4.43
47,4,4.60
48,4,4.86
49,4,4.80
50,4,4.78
51,4,4.88
52,4,5.04
53,4,4.95
54,4,5.33
55,4,5.39
56,4,5.51
57,4,5.65
58,4,5.54
59,4,5.68
60,4,5.86
61,4,6.13
62,4,6.45
63,4,6.23
64,4,5.03
65,4,5.42
66,4,5.88
67,4,5.99
68,4,6.46
69,4,6.19
70,4,6.56
71,4,6.62
72,4,6.81
73,4,6.89
74,4,7.54
75,4,7.28
76,4,7.63
77,4,8.20
78,4,7.87
79,4,7.81
80,4,8.57
81,4,8.52
82,4,9.07
83,4,8.90
84,4,8.95
85,4,9.22
86,4,9.45
87,4,9.08
88,4,9.89
89,4,9.72
90,4,9.85
91,4,9.93
92,4,10.05
93,4,10.23
94,4,10.65
95,4,10.36
96,4,10.84
97,4,10.98
98,4,10.82
99,4,11.14
100,4,11.21
101,4,11.42
102,4,11.58
103,4,11.55
104,4,12.04
105,4,12.28
106,4,
107,4,12.16
108,4,12.50
109,4,12.79
110,4,12.90
111,4,12.76
112,4,12.57
113,4,13.23
114,4,13.22
115,4,13.25
116,4,13.26
117,4,13.89
118,4,13.44
119,4,13.67
120,4,13.11
121,4,13.94
122,4,13.69
123,4,14.51
124,4,13.56
125,4,14.16
126,4,13.91
127,4,13.88
128,4,13.01
129,4,13.75
130,4,14.22
131,4,13.96
132,4,14.87
133,4,15.43
134,4,14.60
135,4,14.89
136,4,14.52
137,4,15.58
138,4,16.08
139,4,15.24
140,4,16.67
141,4,16.47
142,4,17.47
143,4,16.72
144,4,17.60
145,4,16.65
146,4,17.48
147,4,17.41
148,4,18.25
149,4,17.77
150,4,19.13
151,4,18.46
152,4,19.55
153,4,18.77
154,4,19.02
155,4,19.57
156,4,20.18
157,4,19.94
158,4,21.40
159,4,20.40
160,4,20.45
161,4,20.84
162,4,21.47
163,4,21.50
164,4,21.98
165,4,21.43
166,4,22.69
167,4,22.02
168,4,22.60
169,4,22.77
170,4,23.42
171,4,22.71
172,4,23.68
173,4,23.65
174,4,25.10
175,4,24.70
176,4,24.69
177,4,25.04
178,4,25.56
179,4,24.95
180,4,25.24
181,4,26.01
182,4,26.39
183,4,26.40
184,4,27.16
185,4,27.93
186,4,27.51
187,4,27.32
188,4,27.83
189,4,28.33
190,4,29.20
191,4,28.63
192,4,28.51
193,4,28.80
194,4,29.28
195,4,29.18
196,4,30.55
197,4,30.19
198,4,30.46
199,4,30.38
200,4,30.59
201,4,30.59
202,4,31.16
203,4,30.53
204,4,32.15
205,4,31.53
206,4,32.43
207,4,31.97
208,4,32.79
209,4,32.67
210,4,32.85
211,4,32.65
212,4,33.56
213,4,33.57
214,4,34.14
215,4,33.35
216,4,34.05
217,4,34.13
218,4,35.65
219,4,34.05
220,4,34.69
221,4,34.99
222,4,35.54
223,4,35.21
224,4,35.23
225,4,35.17
226,4,36.20
227,4,36.15
228,4,36.34
229,4,37.66
230,4,36.21
231,4,36.33
232,4,36.73
233,4,36.40
234,4,37.22
235,4,37.52
236,4,38.06
237,4,37.50
238,4,38.39
239,4,37.57
240,4,38.26
241,4,38.18
242,4,38.87
243,4,37.31
244,4,38.58
245,4,38.16
246,4,39.00
247,4,38.23
248,4,39.21
249,4,37.85
250,4,38.96
251,4,37.92
252,4,39.05
253,4,38.18
254,4,38.90
255,4,37.42
256,4,38.60
