number_processes,Size,Latency
2,2,0.16
2,4,0.16
2,8,0.16
2,16,0.15
2,32,0.15
2,64,0.16
2,128,0.20
2,256,0.21
2,512,0.22
2,1024,0.25
4,2,0.24
4,4,0.24
4,8,0.25
4,16,0.25
4,32,0.26
4,64,0.25
4,128,0.38
4,256,0.37
4,512,0.41
4,1024,0.48
8,2,1.27
8,4,1.27
8,8,1.30
8,16,1.28
8,32,1.31
8,64,1.32
8,128,1.57
8,256,1.63
8,512,1.72
8,1024,1.96
16,2,2.66
16,4,2.67
16,8,2.66
16,16,2.65
16,32,2.92
16,64,2.90
16,128,3.25
16,256,3.27
16,512,3.49
16,1024,4.38
32,2,5.51
32,4,5.46
32,8,5.51
32,16,5.43
32,32,6.14
32,64,6.07
32,128,6.69
32,256,6.80
32,512,7.23
32,1024,8.45
64,2,11.82
64,4,11.35
64,8,10.84
64,16,10.80
64,32,12.15
64,64,12.08
64,128,13.14
64,256,13.30
64,512,14.38
64,1024,15.75
128,2,23.78
128,4,23.06
128,8,23.19
128,16,23.52
128,32,24.46
128,64,24.45
128,128,27.91
128,256,28.14
128,512,29.15
128,1024,33.07
256,2,26.44
256,4,28.61
256,8,27.25
256,16,26.50
256,32,30.78
256,64,31.42
256,128,38.89
256,256,39.57
256,512,45.71
256,1024,55.13
