idx_process,dimension_size,Latency
2,4,0.14
3,4,0.15
4,4,0.18
5,4,0.32
6,4,0.31
7,4,0.31
8,4,0.33
9,4,0.25
10,4,0.25
11,4,0.24
12,4,0.25
13,4,0.31
14,4,0.40
15,4,0.49
16,4,0.65
17,4,0.69
18,4,0.66
19,4,0.63
20,4,0.48
21,4,0.54
22,4,0.56
23,4,0.53
24,4,0.50
25,4,0.60
26,4,0.70
27,4,0.74
28,4,0.78
29,4,0.90
30,4,1.00
31,4,1.05
32,4,1.17
33,4,1.18
34,4,1.23
35,4,1.21
36,4,1.14
37,4,1.21
38,4,1.25
39,4,1.25
40,4,1.23
41,4,1.33
42,4,1.38
43,4,1.33
44,4,1.27
45,4,1.29
46,4,1.37
47,4,1.37
48,4,1.39
49,4,1.53
50,4,1.62
51,4,1.65
52,4,1.65
53,4,1.79
54,4,1.83
55,4,1.87
56,4,1.81
57,4,1.97
58,4,1.88
59,4,2.16
60,4,2.14
61,4,2.33
62,4,2.36
63,4,2.47
64,4,2.46
65,4,2.68
66,4,2.85
67,4,2.86
68,4,2.90
69,4,3.16
70,4,3.13
71,4,3.27
72,4,3.21
73,4,3.42
74,4,3.50
75,4,3.54
76,4,3.51
77,4,3.71
78,4,3.62
79,4,3.65
80,4,3.65
81,4,3.84
82,4,3.80
83,4,3.95
84,4,3.98
85,4,4.20
86,4,4.09
87,4,4.21
88,4,4.24
89,4,4.45
90,4,4.20
91,4,4.44
92,4,4.42
93,4,4.67
94,4,4.70
95,4,4.76
96,4,4.53
97,4,4.87
98,4,4.95
99,4,4.86
100,4,5.17
101,4,5.29
102,4,5.15
103,4,5.58
104,4,5.22
105,4,5.70
106,4,5.49
107,4,5.57
108,4,5.62
109,4,5.95
110,4,5.86
111,4,5.81
112,4,5.77
113,4,6.33
114,4,6.16
115,4,6.14
116,4,6.31
117,4,6.66
118,4,6.64
119,4,6.56
120,4,6.78
121,4,7.02
122,4,5.87
123,4,6.80
124,4,6.84
125,4,6.87
126,4,6.97
127,4,6.58
128,4,6.52
129,4,6.65
130,4,6.52
131,4,6.64
132,4,6.26
133,4,6.37
134,4,6.49
135,4,6.01
136,4,6.33
137,4,6.28
138,4,6.20
139,4,6.04
140,4,5.97
141,4,5.70
142,4,5.92
143,4,6.10
144,4,5.90
145,4,5.72
146,4,5.41
147,4,5.44
148,4,5.39
149,4,5.15
150,4,5.01
151,4,5.02
152,4,4.86
153,4,5.01
154,4,5.17
155,4,4.63
156,4,4.52
157,4,4.66
158,4,4.77
159,4,4.36
160,4,4.31
161,4,4.50
162,4,3.97
163,4,4.12
164,4,3.86
165,4,4.00
166,4,4.06
167,4,4.09
168,4,4.05
169,4,4.36
170,4,4.17
171,4,4.06
172,4,4.18
173,4,3.98
174,4,4.00
175,4,4.00
176,4,3.95
177,4,3.72
178,4,3.82
179,4,3.80
180,4,3.56
181,4,3.57
182,4,3.46
183,4,3.40
184,4,3.48
185,4,3.33
186,4,3.31
187,4,3.17
188,4,3.05
189,4,3.00
190,4,2.88
191,4,3.08
192,4,2.69
193,4,2.77
194,4,2.71
195,4,2.81
196,4,2.82
197,4,2.56
198,4,2.47
199,4,2.61
200,4,2.52
201,4,2.58
202,4,2.64
203,4,2.69
204,4,2.54
205,4,2.66
206,4,2.71
207,4,2.67
208,4,2.48
209,4,2.57
210,4,2.55
211,4,2.47
212,4,2.47
213,4,2.40
214,4,2.45
215,4,2.31
216,4,2.43
217,4,2.50
218,4,2.26
219,4,2.25
220,4,2.10
221,4,2.29
222,4,2.15
223,4,2.08
224,4,2.06
225,4,2.12
226,4,2.17
227,4,1.98
228,4,2.05
229,4,2.14
230,4,2.14
231,4,2.31
232,4,2.06
233,4,2.04
234,4,2.06
235,4,2.07
236,4,2.01
237,4,2.11
238,4,2.09
239,4,2.25
240,4,2.07
241,4,2.08
242,4,2.08
243,4,1.99
244,4,1.87
245,4,1.98
246,4,1.94
247,4,1.89
248,4,1.91
249,4,2.02
250,4,1.97
251,4,1.86
252,4,1.85
253,4,1.93
254,4,1.86
255,4,1.90
256,4,3.45
