number_processes,Size,Latency
2,2,0.15
2,4,0.17
2,8,0.17
2,16,0.17
2,32,0.17
2,64,0.17
2,128,0.22
2,256,0.22
2,512,0.23
2,1024,0.26
4,2,0.27
4,4,0.27
4,8,0.26
4,16,0.26
4,32,0.27
4,64,0.27
4,128,0.36
4,256,0.37
4,512,0.39
4,1024,0.44
8,2,0.64
8,4,0.64
8,8,0.69
8,16,0.64
8,32,0.74
8,64,0.72
8,128,0.95
8,256,0.96
8,512,1.05
8,1024,1.24
16,2,0.77
16,4,0.77
16,8,0.78
16,16,0.77
16,32,0.92
16,64,0.91
16,128,1.19
16,256,1.23
16,512,1.31
16,1024,1.67
32,2,0.93
32,4,0.90
32,8,0.89
32,16,0.91
32,32,1.05
32,64,1.04
32,128,1.42
32,256,1.45
32,512,1.64
32,1024,2.17
64,2,1.08
64,4,1.06
64,8,1.06
64,16,1.04
64,32,1.26
64,64,1.25
64,128,1.71
64,256,1.74
64,512,1.98
64,1024,2.63
128,2,1.55
128,4,1.56
128,8,1.57
128,16,1.56
128,32,1.88
128,64,1.87
128,128,2.41
128,256,2.53
128,512,2.98
128,1024,3.79
256,2,4.98
256,4,5.38
256,8,5.08
256,16,5.04
256,32,4.82
256,64,4.86
256,128,4.95
256,256,5.28
256,512,6.01
256,1024,7.85
