cores,threads,width,height,time
1,1,10000,10000,55.537093
2,1,10000,10000,39.090108
3,1,10000,10000,35.173702
4,1,10000,10000,34.540792
5,1,10000,10000,25.665395
6,1,10000,10000,24.193862
7,1,10000,10000,21.478431
8,1,10000,10000,17.364728
9,1,10000,10000,17.243265
10,1,10000,10000,15.503658
11,1,10000,10000,13.857279
12,1,10000,10000,13.613469
13,1,10000,10000,11.933496
14,1,10000,10000,11.547476
15,1,10000,10000,11.126100
16,1,10000,10000,9.631354
17,1,10000,10000,9.957503
18,1,10000,10000,9.255802
19,1,10000,10000,8.567235
20,1,10000,10000,8.688758
21,1,10000,10000,7.903927
22,1,10000,10000,7.802122
23,1,10000,10000,7.578655
24,1,10000,10000,6.834020
25,1,10000,10000,7.003137
26,1,10000,10000,6.682967
27,1,10000,10000,6.323808
28,1,10000,10000,6.305169
29,1,10000,10000,5.979981
30,1,10000,10000,5.831890
31,1,10000,10000,5.700919
32,1,10000,10000,5.357568
33,1,10000,10000,5.383774
34,1,10000,10000,5.213755
35,1,10000,10000,4.986707
36,1,10000,10000,4.971991
37,1,10000,10000,4.767916
38,1,10000,10000,4.658803
39,1,10000,10000,4.589578
40,1,10000,10000,
41,1,10000,10000,4.349785
42,1,10000,10000,4.260791
43,1,10000,10000,4.071457
44,1,10000,10000,4.088388
45,1,10000,10000,3.962319
46,1,10000,10000,3.852781
47,1,10000,10000,3.840548
48,1,10000,10000,3.694552
49,1,10000,10000,3.658090
50,1,10000,10000,3.622405
51,1,10000,10000,3.459672
52,1,10000,10000,3.470375
53,1,10000,10000,3.393384
54,1,10000,10000,3.297421
55,1,10000,10000,3.309531
56,1,10000,10000,3.176199
57,1,10000,10000,3.153054
58,1,10000,10000,3.133657
59,1,10000,10000,3.007854
60,1,10000,10000,3.031451
61,1,10000,10000,2.982287
62,1,10000,10000,2.889611
63,1,10000,10000,2.901403
64,1,10000,10000,2.813341
65,1,10000,10000,2.785145
66,1,10000,10000,2.758697
67,1,10000,10000,2.668897
68,1,10000,10000,2.675212
69,1,10000,10000,2.644488
70,1,10000,10000,2.571125
71,1,10000,10000,2.581433
72,1,10000,10000,2.532474
73,1,10000,10000,2.477278
74,1,10000,10000,2.477827
75,1,10000,10000,2.401326
76,1,10000,10000,2.401167
77,1,10000,10000,2.385198
78,1,10000,10000,2.305432
79,1,10000,10000,2.316560
80,1,10000,10000,2.291903
81,1,10000,10000,2.243106
82,1,10000,10000,2.247239
83,1,10000,10000,2.174210
84,1,10000,10000,2.172902
85,1,10000,10000,2.168959
86,1,10000,10000,2.098203
87,1,10000,10000,2.119445
88,1,10000,10000,2.078035
89,1,10000,10000,2.045248
90,1,10000,10000,2.049062
91,1,10000,10000,2.015053
92,1,10000,10000,2.009821
93,1,10000,10000,1.970449
94,1,10000,10000,1.927525
95,1,10000,10000,1.940829
96,1,10000,10000,1.917641
97,1,10000,10000,1.880548
98,1,10000,10000,1.888040
99,1,10000,10000,1.862677
100,1,10000,10000,1.833318
101,1,10000,10000,1.832962
102,1,10000,10000,1.799117
103,1,10000,10000,1.790954
104,1,10000,10000,1.774018
105,1,10000,10000,1.745336
106,1,10000,10000,1.742056
107,1,10000,10000,1.709084
108,1,10000,10000,1.701240
109,1,10000,10000,1.704422
110,1,10000,10000,1.673551
111,1,10000,10000,1.664911
112,1,10000,10000,1.650499
113,1,10000,10000,1.628610
114,1,10000,10000,1.641990
115,1,10000,10000,1.611440
116,1,10000,10000,1.589178
117,1,10000,10000,1.575330
