cores,threads,width,height,time
1,1,10000,10000,55.870678
2,1,10000,10000,27.932125
3,1,10000,10000,11.221969
4,1,10000,10000,8.291729
5,1,10000,10000,2.673258
6,1,10000,10000,1.428336
7,1,10000,10000,1.314639
8,1,10000,10000,0.520795
9,1,10000,10000,0.296379
10,1,10000,10000,0.301980
11,1,10000,10000,0.456089
12,1,10000,10000,0.193317
13,1,10000,10000,0.316540
14,1,10000,10000,0.176404
15,1,10000,10000,0.149985
16,1,10000,10000,0.136977
17,1,10000,10000,0.194509
18,1,10000,10000,0.123339
19,1,10000,10000,0.166682
20,1,10000,10000,0.107475
21,1,10000,10000,0.104765
22,1,10000,10000,0.108776
23,1,10000,10000,0.135059
24,1,10000,10000,0.088361
25,1,10000,10000,0.082731
26,1,10000,10000,0.091487
27,1,10000,10000,0.080628
28,1,10000,10000,0.074987
29,1,10000,10000,0.105951
30,1,10000,10000,0.067793
31,1,10000,10000,0.099484
32,1,10000,10000,0.064958
33,1,10000,10000,0.065209
34,1,10000,10000,0.069231
35,1,10000,10000,0.057343
36,1,10000,10000,0.053923
37,1,10000,10000,0.083722
38,1,10000,10000,0.061763
39,1,10000,10000,0.054977
40,1,10000,10000,0.049562
41,1,10000,10000,0.075637
42,1,10000,10000,0.045438
43,1,10000,10000,0.072264
44,1,10000,10000,0.047406
45,1,10000,10000,0.043719
46,1,10000,10000,0.050666
47,1,10000,10000,0.066522
48,1,10000,10000,0.039204
49,1,10000,10000,0.037087
50,1,10000,10000,0.039237
51,1,10000,10000,0.041704
52,1,10000,10000,0.039039
53,1,10000,10000,0.059078
54,1,10000,10000,0.034498
55,1,10000,10000,0.035404
56,1,10000,10000,0.031963
57,1,10000,10000,0.037312
58,1,10000,10000,0.040106
59,1,10000,10000,0.053197
60,1,10000,10000,0.030877
61,1,10000,10000,0.051393
62,1,10000,10000,0.037496
63,1,10000,10000,0.028318
64,1,10000,10000,0.026931
65,1,10000,10000,0.029782
66,1,10000,10000,0.027894
67,1,10000,10000,0.047081
68,1,10000,10000,0.029747
69,1,10000,10000,0.030771
70,1,10000,10000,0.025242
71,1,10000,10000,0.044309
72,1,10000,10000,0.023774
73,1,10000,10000,0.042886
74,1,10000,10000,0.031405
75,1,10000,10000,0.025390
76,1,10000,10000,0.026364
77,1,10000,10000,0.022576
78,1,10000,10000,0.023253
79,1,10000,10000,0.039892
80,1,10000,10000,0.021161
81,1,10000,10000,0.020185
82,1,10000,10000,0.028062
83,1,10000,10000,0.038051
84,1,10000,10000,0.020628
85,1,10000,10000,0.022438
86,1,10000,10000,0.026816
87,1,10000,10000,0.024284
88,1,10000,10000,0.018867
89,1,10000,10000,0.035567
90,1,10000,10000,0.017967
91,1,10000,10000,0.018874
92,1,10000,10000,0.021718
93,1,10000,10000,0.022658
94,1,10000,10000,0.024566
95,1,10000,10000,0.019853
96,1,10000,10000,0.017381
97,1,10000,10000,0.032803
98,1,10000,10000,0.017464
99,1,10000,10000,0.016373
100,1,10000,10000,0.016263
101,1,10000,10000,0.031550
102,1,10000,10000,0.017558
103,1,10000,10000,0.030976
104,1,10000,10000,0.016362
105,1,10000,10000,0.016279
106,1,10000,10000,0.021783
107,1,10000,10000,0.029679
108,1,10000,10000,0.015213
109,1,10000,10000,0.029137
110,1,10000,10000,0.014668
111,1,10000,10000,0.019111
112,1,10000,10000,0.015075
113,1,10000,10000,0.028143
114,1,10000,10000,0.015956
115,1,10000,10000,0.016420
116,1,10000,10000,0.017492
117,1,10000,10000,0.013866
118,1,10000,10000,0.019763
119,1,10000,10000,0.014409
120,1,10000,10000,0.013265
121,1,10000,10000,0.012958
122,1,10000,10000,0.019007
123,1,10000,10000,0.017302
124,1,10000,10000,0.016514
125,1,10000,10000,0.015300
126,1,10000,10000,0.013076
127,1,10000,10000,0.024974
128,1,10000,10000,0.013832
129,1,10000,10000,0.016522
130,1,10000,10000,0.012275
131,1,10000,10000,0.024335
132,1,10000,10000,0.011749
133,1,10000,10000,0.013049
134,1,10000,10000,0.017443
135,1,10000,10000,0.011995
136,1,10000,10000,0.012980
137,1,10000,10000,0.023187
138,1,10000,10000,0.012825
139,1,10000,10000,0.022647
140,1,10000,10000,0.011325
141,1,10000,10000,0.015153
142,1,10000,10000,0.016257
143,1,10000,10000,0.010863
144,1,10000,10000,0.010371
145,1,10000,10000,0.013186
146,1,10000,10000,0.015756
147,1,10000,10000,0.011994
148,1,10000,10000,0.013540
