cores,threads,width,height,time
1,1,10000,10000,55.967771
2,1,10000,10000,27.933507
3,1,10000,10000,33.613584
4,1,10000,10000,22.566376
5,1,10000,10000,22.114515
6,1,10000,10000,16.882244
7,1,10000,10000,16.084718
8,1,10000,10000,13.517012
9,1,10000,10000,12.661444
10,1,10000,10000,11.059229
11,1,10000,10000,10.428505
12,1,10000,10000,9.343676
13,1,10000,10000,8.898170
14,1,10000,10000,8.029354
15,1,10000,10000,7.748452
16,1,10000,10000,7.076400
17,1,10000,10000,6.846337
18,1,10000,10000,6.339481
19,1,10000,10000,6.140515
20,1,10000,10000,5.717970
21,1,10000,10000,5.566011
22,1,10000,10000,5.226799
23,1,10000,10000,5.085421
24,1,10000,10000,4.809305
25,1,10000,10000,4.691919
26,1,10000,10000,4.463431
27,1,10000,10000,4.353644
28,1,10000,10000,4.143348
29,1,10000,10000,4.055298
30,1,10000,10000,3.880049
31,1,10000,10000,3.799977
32,1,10000,10000,3.659405
33,1,10000,10000,3.572074
34,1,10000,10000,3.441157
35,1,10000,10000,3.374962
36,1,10000,10000,3.260228
37,1,10000,10000,3.192697
38,1,10000,10000,3.086828
39,1,10000,10000,3.019253
40,1,10000,10000,2.936831
41,1,10000,10000,2.882850
42,1,10000,10000,2.801441
43,1,10000,10000,2.760683
44,1,10000,10000,2.668684
45,1,10000,10000,2.625638
46,1,10000,10000,2.555170
47,1,10000,10000,2.530125
48,1,10000,10000,2.453573
49,1,10000,10000,2.425490
50,1,10000,10000,2.360988
51,1,10000,10000,2.332298
52,1,10000,10000,2.271463
53,1,10000,10000,2.244413
54,1,10000,10000,2.188708
55,1,10000,10000,2.163377
56,1,10000,10000,2.122733
57,1,10000,10000,2.087074
58,1,10000,10000,2.038690
59,1,10000,10000,2.016167
60,1,10000,10000,1.981946
61,1,10000,10000,1.961339
62,1,10000,10000,1.912842
63,1,10000,10000,1.903140
64,1,10000,10000,1.853998
65,1,10000,10000,1.844279
66,1,10000,10000,1.812604
67,1,10000,10000,1.785887
68,1,10000,10000,1.746284
69,1,10000,10000,1.740303
70,1,10000,10000,1.705665
71,1,10000,10000,1.692573
72,1,10000,10000,1.659448
73,1,10000,10000,1.646158
74,1,10000,10000,1.612605
75,1,10000,10000,1.597639
76,1,10000,10000,1.582262
77,1,10000,10000,1.567628
78,1,10000,10000,1.529501
79,1,10000,10000,1.527978
80,1,10000,10000,1.495562
81,1,10000,10000,1.482170
82,1,10000,10000,1.459884
83,1,10000,10000,1.445788
84,1,10000,10000,1.425599
85,1,10000,10000,1.423647
86,1,10000,10000,1.394696
87,1,10000,10000,1.392411
88,1,10000,10000,1.371338
89,1,10000,10000,1.352341
90,1,10000,10000,1.337641
91,1,10000,10000,1.333789
92,1,10000,10000,1.315618
93,1,10000,10000,1.307101
94,1,10000,10000,1.280873
95,1,10000,10000,1.271522
96,1,10000,10000,1.255629
97,1,10000,10000,1.252242
98,1,10000,10000,1.230047
99,1,10000,10000,1.229621
100,1,10000,10000,1.204495
101,1,10000,10000,1.203663
102,1,10000,10000,1.184628
103,1,10000,10000,1.179185
104,1,10000,10000,1.162501
105,1,10000,10000,1.155688
106,1,10000,10000,1.140740
107,1,10000,10000,1.129069
108,1,10000,10000,1.139358
109,1,10000,10000,1.121956
110,1,10000,10000,1.109089
111,1,10000,10000,1.099543
112,1,10000,10000,1.083060
113,1,10000,10000,1.072643
