cores,threads,width,height,time
1,1,10000,10000,55.339181
1,2,10000,10000,27.696989
1,3,10000,10000,18.483388
1,4,10000,10000,13.897464
1,5,10000,10000,11.149704
1,6,10000,10000,9.318743
1,7,10000,10000,7.986057
1,8,10000,10000,7.070195
1,9,10000,10000,6.224913
1,10,10000,10000,5.621551
1,11,10000,10000,5.106499
1,12,10000,10000,4.692292
1,13,10000,10000,4.335092
1,14,10000,10000,4.031942
1,15,10000,10000,3.767759
1,16,10000,10000,3.543235
1,17,10000,10000,3.341079
1,18,10000,10000,3.163352
1,19,10000,10000,2.996317
1,20,10000,10000,2.852472
1,21,10000,10000,2.722382
1,22,10000,10000,2.605463
1,23,10000,10000,2.495704
1,24,10000,10000,2.396852
1,25,10000,10000,2.307333
1,26,10000,10000,2.222198
1,27,10000,10000,2.151674
1,28,10000,10000,2.082330
1,29,10000,10000,2.016159
1,30,10000,10000,1.961373
1,31,10000,10000,1.882304
1,32,10000,10000,1.811304
1,33,10000,10000,1.771583
1,34,10000,10000,1.702541
1,35,10000,10000,1.661815
1,36,10000,10000,1.616526
1,37,10000,10000,1.570076
1,38,10000,10000,1.532194
1,39,10000,10000,1.494089
1,40,10000,10000,1.457606
1,41,10000,10000,1.424651
1,42,10000,10000,1.392377
1,43,10000,10000,1.361242
1,44,10000,10000,1.332249
1,45,10000,10000,1.303421
1,46,10000,10000,1.277600
1,47,10000,10000,1.252223
1,48,10000,10000,1.228243
1,49,10000,10000,1.204355
1,50,10000,10000,1.182499
1,51,10000,10000,1.160716
1,52,10000,10000,1.139859
1,53,10000,10000,1.119425
1,54,10000,10000,1.103814
1,55,10000,10000,1.082576
1,56,10000,10000,1.064688
1,57,10000,10000,1.047370
1,58,10000,10000,1.031450
1,59,10000,10000,1.015425
1,60,10000,10000,0.998832
1,61,10000,10000,0.984518
1,62,10000,10000,0.970715
1,63,10000,10000,0.955447
1,64,10000,10000,0.942103
1,65,10000,10000,0.943879
1,66,10000,10000,0.943244
1,67,10000,10000,0.942454
1,68,10000,10000,0.942796
1,69,10000,10000,0.942131
1,70,10000,10000,0.942188
1,71,10000,10000,0.941763
1,72,10000,10000,0.941954
1,73,10000,10000,0.941376
1,74,10000,10000,0.941152
1,75,10000,10000,0.942294
1,76,10000,10000,0.940698
1,77,10000,10000,0.940738
1,78,10000,10000,0.938914
1,79,10000,10000,0.939960
1,80,10000,10000,0.938776
1,81,10000,10000,0.940578
1,82,10000,10000,0.939488
1,83,10000,10000,0.937836
1,84,10000,10000,0.937985
1,85,10000,10000,0.937944
1,86,10000,10000,0.938306
1,87,10000,10000,0.937374
1,88,10000,10000,0.936063
1,89,10000,10000,0.936047
1,90,10000,10000,0.937474
1,91,10000,10000,0.936807
1,92,10000,10000,0.935396
1,93,10000,10000,0.935052
1,94,10000,10000,0.934956
1,95,10000,10000,0.936174
1,96,10000,10000,0.934225
1,97,10000,10000,0.935855
1,98,10000,10000,0.933954
1,99,10000,10000,0.934149
1,100,10000,10000,0.933681
1,101,10000,10000,0.932565
1,102,10000,10000,0.932762
1,103,10000,10000,0.933112
1,104,10000,10000,0.931123
1,105,10000,10000,0.931482
1,106,10000,10000,0.930804
1,107,10000,10000,0.931759
1,108,10000,10000,0.931027
1,109,10000,10000,0.932671
1,110,10000,10000,0.930219
1,111,10000,10000,0.929788
1,112,10000,10000,0.929692
1,113,10000,10000,0.928631
1,114,10000,10000,0.929572
1,115,10000,10000,0.928754
1,116,10000,10000,0.929972
1,117,10000,10000,0.929066
1,118,10000,10000,0.930835
1,119,10000,10000,0.929133
1,120,10000,10000,0.927755
1,121,10000,10000,0.931646
1,122,10000,10000,0.929118
1,123,10000,10000,0.928429
1,124,10000,10000,0.928599
1,125,10000,10000,0.927088
1,126,10000,10000,0.926326
1,127,10000,10000,0.927142
1,128,10000,10000,0.929021
