cores,threads,width,height,time
1,1,10000,10000,55.881374
1,2,10000,10000,27.966598
1,3,10000,10000,18.643240
1,4,10000,10000,14.085168
1,5,10000,10000,11.225146
1,6,10000,10000,9.498656
1,7,10000,10000,8.226375
1,8,10000,10000,7.159084
1,9,10000,10000,6.402614
1,10,10000,10000,5.771836
1,11,10000,10000,5.246291
1,12,10000,10000,4.828944
1,13,10000,10000,4.464718
1,14,10000,10000,4.160251
1,15,10000,10000,3.894396
1,16,10000,10000,3.646172
1,17,10000,10000,3.447358
1,18,10000,10000,3.250156
1,19,10000,10000,3.106349
1,20,10000,10000,2.950981
1,21,10000,10000,2.820105
1,22,10000,10000,2.701707
1,23,10000,10000,2.586668
1,24,10000,10000,2.476047
1,25,10000,10000,2.387241
1,26,10000,10000,2.308813
1,27,10000,10000,2.214577
1,28,10000,10000,2.151299
1,29,10000,10000,2.079905
1,30,10000,10000,2.015777
1,31,10000,10000,1.946795
1,32,10000,10000,1.897071
1,33,10000,10000,1.865349
1,34,10000,10000,1.828108
1,35,10000,10000,1.773425
1,36,10000,10000,1.718423
1,37,10000,10000,1.670529
1,38,10000,10000,1.628124
1,39,10000,10000,1.579590
1,40,10000,10000,1.513810
1,41,10000,10000,1.496874
1,42,10000,10000,1.465737
1,43,10000,10000,1.427186
1,44,10000,10000,1.404627
1,45,10000,10000,1.370326
1,46,10000,10000,1.358934
1,47,10000,10000,1.334068
1,48,10000,10000,1.310975
1,49,10000,10000,1.283130
1,50,10000,10000,1.240829
1,51,10000,10000,1.225542
1,52,10000,10000,1.202185
1,53,10000,10000,1.195636
1,54,10000,10000,1.170302
1,55,10000,10000,1.146639
1,56,10000,10000,1.131514
1,57,10000,10000,1.112210
1,58,10000,10000,1.102169
1,59,10000,10000,1.070369
1,60,10000,10000,1.053941
1,61,10000,10000,1.041171
1,62,10000,10000,1.034647
1,63,10000,10000,1.039834
1,64,10000,10000,0.993826
1,65,10000,10000,1.753149
1,66,10000,10000,1.721975
1,67,10000,10000,1.697909
1,68,10000,10000,1.674639
1,69,10000,10000,1.660138
1,70,10000,10000,1.673090
1,71,10000,10000,1.628576
1,72,10000,10000,1.621054
1,73,10000,10000,1.652037
1,74,10000,10000,1.666810
1,75,10000,10000,1.586899
1,76,10000,10000,1.521325
1,77,10000,10000,1.540642
1,78,10000,10000,1.546529
1,79,10000,10000,1.504189
1,80,10000,10000,1.472539
1,81,10000,10000,1.515508
1,82,10000,10000,1.463471
1,83,10000,10000,1.442481
1,84,10000,10000,1.447610
1,85,10000,10000,1.402537
1,86,10000,10000,1.413232
1,87,10000,10000,1.434646
1,88,10000,10000,1.389109
1,89,10000,10000,1.395115
1,90,10000,10000,1.377361
1,91,10000,10000,1.353259
1,92,10000,10000,1.316025
1,93,10000,10000,1.325111
1,94,10000,10000,1.333292
1,95,10000,10000,1.299355
1,96,10000,10000,1.286894
1,97,10000,10000,1.270334
1,98,10000,10000,1.255383
1,99,10000,10000,1.251519
1,100,10000,10000,1.213637
1,101,10000,10000,1.232056
1,102,10000,10000,1.206113
1,103,10000,10000,1.197570
1,104,10000,10000,1.200192
1,105,10000,10000,1.176426
1,106,10000,10000,1.179385
1,107,10000,10000,1.156933
1,108,10000,10000,1.141589
1,109,10000,10000,1.127220
1,110,10000,10000,1.110435
1,111,10000,10000,1.145909
1,112,10000,10000,1.251060
1,113,10000,10000,1.091290
1,114,10000,10000,1.067728
1,115,10000,10000,1.095406
1,116,10000,10000,1.068345
1,117,10000,10000,1.061219
1,118,10000,10000,1.030663
1,119,10000,10000,1.040749
1,120,10000,10000,1.040811
1,121,10000,10000,1.026396
1,122,10000,10000,0.992948
1,123,10000,10000,0.998426
1,124,10000,10000,0.995932
1,125,10000,10000,0.987188
1,126,10000,10000,1.003502
1,127,10000,10000,0.960632
1,128,10000,10000,0.978300
