cores,threads,width,height,time
1,1,10000,10000,55.633466
1,2,10000,10000,27.728226
1,3,10000,10000,18.488363
1,4,10000,10000,13.871954
1,5,10000,10000,11.132870
1,6,10000,10000,9.269352
1,7,10000,10000,7.955389
1,8,10000,10000,6.966390
1,9,10000,10000,6.198068
1,10,10000,10000,5.584915
1,11,10000,10000,5.080628
1,12,10000,10000,4.662156
1,13,10000,10000,4.304190
1,14,10000,10000,4.002131
1,15,10000,10000,3.738971
1,16,10000,10000,3.509848
1,17,10000,10000,3.309125
1,18,10000,10000,3.122428
1,19,10000,10000,2.960601
1,20,10000,10000,2.816479
1,21,10000,10000,2.687237
1,22,10000,10000,2.567966
1,23,10000,10000,2.459986
1,24,10000,10000,2.360728
1,25,10000,10000,2.270453
1,26,10000,10000,2.186237
1,27,10000,10000,2.116340
1,28,10000,10000,2.041971
1,29,10000,10000,1.974795
1,30,10000,10000,1.928970
1,31,10000,10000,1.834070
1,32,10000,10000,1.789872
1,33,10000,10000,1.733923
1,34,10000,10000,1.673600
1,35,10000,10000,1.623849
1,36,10000,10000,1.578763
1,37,10000,10000,1.536465
1,38,10000,10000,1.497442
1,39,10000,10000,1.460142
1,40,10000,10000,1.425122
1,41,10000,10000,1.390939
1,42,10000,10000,1.359376
1,43,10000,10000,1.328459
1,44,10000,10000,1.299460
1,45,10000,10000,1.271584
1,46,10000,10000,1.245494
1,47,10000,10000,1.219701
1,48,10000,10000,1.195564
1,49,10000,10000,1.171805
1,50,10000,10000,1.149394
1,51,10000,10000,1.127646
1,52,10000,10000,1.107190
1,53,10000,10000,1.086879
1,54,10000,10000,1.068059
1,55,10000,10000,1.049176
1,56,10000,10000,1.031493
1,57,10000,10000,1.013867
1,58,10000,10000,0.997491
1,59,10000,10000,0.983719
1,60,10000,10000,0.966988
1,61,10000,10000,0.952190
1,62,10000,10000,0.938374
1,63,10000,10000,0.924132
1,64,10000,10000,0.910976
1,65,10000,10000,0.897405
1,66,10000,10000,0.884671
1,67,10000,10000,0.872234
1,68,10000,10000,0.860491
1,69,10000,10000,0.850547
1,70,10000,10000,0.841400
1,71,10000,10000,0.832587
1,72,10000,10000,0.815447
1,73,10000,10000,0.805283
1,74,10000,10000,0.795096
1,75,10000,10000,0.785116
1,76,10000,10000,0.775575
1,77,10000,10000,0.766192
1,78,10000,10000,0.756864
1,79,10000,10000,0.748073
1,80,10000,10000,0.740301
1,81,10000,10000,0.730363
1,82,10000,10000,0.722125
1,83,10000,10000,0.714504
1,84,10000,10000,0.706745
1,85,10000,10000,0.698942
1,86,10000,10000,0.691769
1,87,10000,10000,0.684299
1,88,10000,10000,0.677128
1,89,10000,10000,0.669807
1,90,10000,10000,0.662974
1,91,10000,10000,0.656144
1,92,10000,10000,0.649659
1,93,10000,10000,0.642818
1,94,10000,10000,0.637185
1,95,10000,10000,0.630824
1,96,10000,10000,0.624673
1,97,10000,10000,0.618987
1,98,10000,10000,0.613036
1,99,10000,10000,0.607308
1,100,10000,10000,0.601877
1,101,10000,10000,0.596235
1,102,10000,10000,0.591163
1,103,10000,10000,0.585746
1,104,10000,10000,0.580486
1,105,10000,10000,0.575121
1,106,10000,10000,0.570774
1,107,10000,10000,0.566130
1,108,10000,10000,0.561686
1,109,10000,10000,0.556904
1,110,10000,10000,0.552082
1,111,10000,10000,0.547180
1,112,10000,10000,0.542904
1,113,10000,10000,0.539025
1,114,10000,10000,0.535032
1,115,10000,10000,0.644296
1,116,10000,10000,0.526755
1,117,10000,10000,0.522385
1,118,10000,10000,0.518071
1,119,10000,10000,0.514523
1,120,10000,10000,0.510436
1,121,10000,10000,0.507102
1,122,10000,10000,0.503227
1,123,10000,10000,0.499139
1,124,10000,10000,0.495121
1,125,10000,10000,0.492053
1,126,10000,10000,0.488629
1,127,10000,10000,0.485077
1,128,10000,10000,0.482218
