cores,threads,width,height,time
1,1,1000,1000,0.558846
2,1,1414,1414,0.791905
3,1,1732,1732,1.061281
4,1,2000,2000,1.382527
5,1,2236,2236,1.284043
6,1,2449,2449,1.453970
7,1,2645,2645,1.502736
8,1,2828,2828,1.390328
9,1,3000,3000,1.549461
10,1,3162,3162,1.545172
11,1,3316,3316,1.518451
12,1,3464,3464,1.628215
13,1,3605,3605,1.547793
14,1,3741,3741,1.615117
15,1,3872,3872,1.664766
16,1,4000,4000,1.538218
17,1,4123,4123,1.695243
18,1,4242,4242,1.663265
19,1,4358,4358,1.628322
20,1,4472,4472,1.729054
21,1,4582,4582,1.653323
22,1,4690,4690,1.712331
23,1,4795,4795,1.736755
24,1,4898,4898,1.638171
25,1,5000,5000,1.755652
26,1,5099,5099,1.737561
27,1,5196,5196,1.707590
28,1,5291,5291,1.771804
29,1,5385,5385,1.727692
30,1,5477,5477,1.746747
31,1,5567,5567,1.761631
32,1,5656,5656,1.710115
33,1,5744,5744,1.778911
34,1,5830,5830,1.761683
35,1,5916,5916,1.731663
36,1,6000,6000,1.792076
37,1,6082,6082,1.755878
38,1,6164,6164,1.762546
39,1,6244,6244,1.783530
40,1,6324,6324,1.749617
41,1,6403,6403,1.780612
42,1,6480,6480,1.784675
43,1,6557,6557,
44,1,6633,6633,1.798676
45,1,6708,6708,1.783316
46,1,6782,6782,1.772908
47,1,6855,6855,1.802262
48,1,6928,6928,1.764092
49,1,7000,7000,1.794661
50,1,7071,7071,1.794203
51,1,7141,7141,1.770842
52,1,7211,7211,1.810999
53,1,7280,7280,1.790225
54,1,7348,7348,1.779248
55,1,7416,7416,1.816660
56,1,7483,7483,1.778257
57,1,7549,7549,
58,1,7615,7615,1.812233
59,1,7681,7681,1.775404
60,1,7745,7745,1.812229
61,1,7810,7810,1.815490
62,1,7874,7874,1.784949
63,1,7937,7937,1.831250
64,1,8000,8000,1.807859
65,1,8062,8062,1.803127
66,1,8124,8124,1.827010
67,1,8185,8185,1.791044
68,1,8246,8246,1.818086
69,1,8306,8306,1.812726
70,1,8366,8366,1.795702
71,1,8426,8426,1.841254
72,1,8485,8485,1.817353
73,1,8544,8544,1.809324
74,1,8602,8602,1.831256
75,1,8660,8660,1.791358
76,1,8717,8717,1.837250
77,1,8774,8774,1.833753
78,1,8831,8831,1.799292
79,1,8888,8888,1.828553
80,1,8944,8944,1.825875
81,1,9000,9000,1.812878
82,1,9055,9055,1.831432
83,1,9110,9110,1.822317
84,1,9165,9165,1.827844
85,1,9219,9219,1.829193
86,1,9273,9273,1.813055
87,1,9327,9327,1.844909
88,1,9380,9380,1.813544
89,1,9433,9433,1.815673
90,1,9486,9486,1.838830
91,1,9539,9539,1.829059
92,1,9591,9591,1.835136
93,1,9643,9643,1.845572
94,1,9695,9695,1.818686
95,1,9746,9746,1.838130
96,1,9797,9797,1.845972
97,1,9848,9848,1.829416
98,1,9899,9899,1.849197
99,1,9949,9949,1.819854
100,1,10000,10000,1.834904
101,1,10049,10049,1.838602
102,1,10099,10099,1.832550
103,1,10148,10148,1.841092
104,1,10198,10198,1.861771
105,1,10246,10246,1.856049
106,1,10295,10295,1.850817
107,1,10344,10344,1.838975
108,1,10392,10392,1.839432
109,1,10440,10440,1.858123
110,1,10488,10488,1.831133
111,1,10535,10535,1.854242
112,1,10583,10583,1.844169
113,1,10630,10630,1.839525
114,1,10677,10677,1.868279
115,1,10723,10723,1.849233
116,1,10770,10770,1.861603
117,1,10816,10816,1.862618
118,1,10862,10862,1.867857
119,1,10908,10908,1.896372
120,1,10954,10954,1.889612
121,1,11000,11000,1.887279
122,1,11045,11045,1.898648
123,1,11090,11090,1.886146
124,1,11135,11135,1.898402
125,1,11180,11180,1.897061
126,1,11224,11224,1.907005
127,1,11269,11269,1.923684
128,1,11313,11313,1.912455
129,1,11357,11357,1.927795
130,1,11401,11401,1.937581
131,1,11445,11445,1.909826
132,1,11489,11489,1.905115
133,1,11532,11532,1.925704
134,1,11575,11575,1.933499
135,1,11618,11618,1.906166
136,1,11661,11661,1.920074
137,1,11704,11704,1.894548
138,1,11747,11747,1.914988
139,1,11789,11789,1.939306
140,1,11832,11832,1.903198
141,1,11874,11874,2.029163
142,1,11916,11916,1.899442
143,1,11958,11958,1.890280
144,1,12000,12000,1.883054
145,1,12041,12041,1.901079
146,1,12083,12083,1.933050
147,1,12124,12124,1.862551
148,1,12165,12165,2.042567
149,1,12206,12206,1.876126
150,1,12247,12247,1.873145
151,1,12288,12288,1.865911
152,1,12328,12328,1.866595
153,1,12369,12369,1.878785
154,1,12409,12409,1.980223
155,1,12449,12449,2.006774
156,1,12489,12489,2.190893
157,1,12529,12529,1.886211
158,1,12569,12569,1.858776
159,1,12609,12609,1.871773
160,1,12649,12649,1.883046
161,1,12688,12688,1.866965
162,1,12727,12727,1.996776
163,1,12767,12767,2.098646
164,1,12806,12806,1.867764
165,1,12845,12845,1.888505
166,1,12884,12884,1.850884
167,1,12922,12922,1.864941
168,1,12961,12961,1.898536
169,1,13000,13000,1.875432
170,1,13038,13038,2.005550
171,1,13076,13076,1.862744
172,1,13114,13114,2.245666
173,1,13152,13152,1.870263
174,1,13190,13190,1.884087
175,1,13228,13228,1.865717
176,1,13266,13266,1.874347
177,1,13304,13304,1.872598
178,1,13341,13341,1.893349
179,1,13379,13379,1.955608
180,1,13416,13416,1.864678
181,1,13453,13453,2.302914
182,1,13490,13490,
183,1,13527,13527,1.885556
184,1,13564,13564,1.889099
185,1,13601,13601,1.879867
186,1,13638,13638,1.879357
187,1,13674,13674,1.891531
188,1,13711,13711,1.916005
189,1,13747,13747,2.009610
190,1,13784,13784,1.863652
191,1,13820,13820,1.862359
192,1,13856,13856,1.875777
193,1,13892,13892,1.885117
194,1,13928,13928,1.883436
195,1,13964,13964,1.864686
196,1,14000,14000,1.868234
197,1,14035,14035,1.900201
198,1,14071,14071,1.911272
199,1,14106,14106,1.889738
200,1,14142,14142,1.899776
201,1,14177,14177,2.171432
202,1,14212,14212,1.906826
203,1,14247,14247,2.719811
204,1,14282,14282,2.027847
205,1,14317,14317,2.038461
206,1,14352,14352,2.018511
207,1,14387,14387,2.030597
208,1,14422,14422,2.022465
209,1,14456,14456,2.008660
210,1,14491,14491,2.035000
211,1,14525,14525,2.043210
212,1,14560,14560,2.005052
213,1,14594,14594,2.402141
214,1,14628,14628,1.988963
215,1,14662,14662,2.865922
216,1,14696,14696,1.986215
217,1,14730,14730,1.994301
218,1,14764,14764,1.991821
219,1,14798,14798,1.980222
220,1,14832,14832,1.964470
221,1,14866,14866,1.959634
222,1,14899,14899,1.997615
223,1,14933,14933,2.002790
224,1,14966,14966,1.989245
225,1,15000,15000,1.979038
226,1,15033,15033,2.342269
227,1,15066,15066,1.949740
228,1,15099,15099,3.163361
229,1,15132,15132,1.952100
230,1,15165,15165,1.970522
231,1,15198,15198,1.966939
232,1,15231,15231,1.984483
233,1,15264,15264,1.943791
234,1,15297,15297,1.978971
235,1,15329,15329,1.986936
236,1,15362,15362,1.950262
237,1,15394,15394,1.953948
238,1,15427,15427,2.022160
239,1,15459,15459,2.114942
240,1,15491,15491,2.293702
241,1,15524,15524,1.930204
242,1,15556,15556,1.940485
243,1,15588,15588,1.935295
244,1,15620,15620,1.945476
245,1,15652,15652,1.941126
246,1,15684,15684,1.938850
247,1,15716,15716,1.937708
248,1,15748,15748,1.923925
249,1,15779,15779,1.966079
250,1,15811,15811,1.967334
251,1,15842,15842,1.938061
252,1,15874,15874,1.950067
253,1,15905,15905,2.013316
254,1,15937,15937,2.095007
255,1,15968,15968,1.928804
256,1,16000,16000,1.920680
