cores,threads,width,height,time
1,1,1000,1000,0.562835
2,1,1414,1414,0.559203
3,1,1732,1732,0.337233
4,1,2000,2000,0.330340
5,1,2236,2236,0.134036
6,1,2449,2449,0.085764
7,1,2645,2645,0.092413
8,1,2828,2828,0.041516
9,1,3000,3000,0.026771
10,1,3162,3162,0.030351
11,1,3316,3316,0.050397
12,1,3464,3464,0.023014
13,1,3605,3605,0.041531
14,1,3741,3741,0.024596
15,1,3872,3872,0.022435
16,1,4000,4000,0.021818
17,1,4123,4123,0.033171
18,1,4242,4242,0.021995
19,1,4358,4358,0.031800
20,1,4472,4472,0.021328
21,1,4582,4582,0.021862
22,1,4690,4690,0.023673
23,1,4795,4795,0.031011
24,1,4898,4898,0.021126
25,1,5000,5000,0.020774
26,1,5099,5099,0.023526
27,1,5196,5196,0.021805
28,1,5291,5291,0.021028
29,1,5385,5385,0.030791
30,1,5477,5477,0.020067
31,1,5567,5567,0.030659
32,1,5656,5656,0.020785
33,1,5744,5744,0.021575
34,1,5830,5830,0.023371
35,1,5916,5916,0.020042
36,1,6000,6000,0.019426
37,1,6082,6082,0.030920
38,1,6164,6164,0.023276
39,1,6244,6244,0.021570
40,1,6324,6324,0.019847
41,1,6403,6403,0.031148
42,1,6480,6480,0.019041
43,1,6557,6557,0.031082
44,1,6633,6633,0.020442
45,1,6708,6708,
46,1,6782,6782,0.023472
47,1,6855,6855,0.031160
48,1,6928,6928,0.019343
49,1,7000,7000,0.018647
50,1,7071,7071,0.019809
51,1,7141,7141,0.021509
52,1,7211,7211,0.020538
53,1,7280,7280,0.031298
54,1,7348,7348,0.019236
55,1,7416,7416,0.020071
56,1,7483,7483,0.018567
57,1,7549,7549,0.021734
58,1,7615,7615,0.023534
59,1,7681,7681,0.031732
60,1,7745,7745,0.019305
61,1,7810,7810,0.031851
62,1,7874,7874,0.024004
63,1,7937,7937,0.018815
64,1,8000,8000,0.018631
65,1,8062,8062,0.020322
66,1,8124,8124,0.019813
67,1,8185,8185,0.032028
68,1,8246,8246,0.021280
69,1,8306,8306,0.022111
70,1,8366,8366,0.019090
71,1,8426,8426,0.031619
72,1,8485,8485,0.018453
73,1,8544,8544,0.031805
74,1,8602,8602,0.023598
75,1,8660,8660,0.020190
76,1,8717,8717,0.020837
77,1,8774,8774,0.018799
78,1,8831,8831,0.018898
79,1,8888,8888,0.031976
80,1,8944,8944,0.017882
81,1,9000,9000,0.017717
