cores,threads,width,height,time
1,1,1000,1000,0.558222
2,1,1414,1414,0.557716
3,1,1732,1732,1.003586
4,1,2000,2000,0.907174
5,1,2236,2236,1.101463
6,1,2449,2449,1.006063
7,1,2645,2645,1.124996
8,1,2828,2828,1.080799
9,1,3000,3000,1.131779
10,1,3162,3162,1.101776
11,1,3316,3316,1.139199
12,1,3464,3464,1.118291
13,1,3605,3605,1.153604
14,1,3741,3741,1.122533
15,1,3872,3872,1.154616
16,1,4000,4000,1.130327
17,1,4123,4123,1.162382
18,1,4242,4242,1.142213
19,1,4358,4358,1.162477
20,1,4472,4472,1.144658
21,1,4582,4582,1.165728
22,1,4690,4690,1.144841
23,1,4795,4795,1.163670
24,1,4898,4898,1.148393
25,1,5000,5000,1.171701
26,1,5099,5099,
27,1,5196,5196,1.173339
28,1,5291,5291,1.157250
29,1,5385,5385,1.174112
30,1,5477,5477,1.165007
31,1,5567,5567,1.175622
32,1,5656,5656,1.168165
33,1,5744,5744,1.175288
34,1,5830,5830,1.166117
35,1,5916,5916,1.176463
36,1,6000,6000,1.173947
37,1,6082,6082,1.174841
38,1,6164,6164,1.170245
39,1,6244,6244,1.178005
40,1,6324,6324,1.171521
41,1,6403,6403,1.178171
42,1,6480,6480,1.173739
43,1,6557,6557,1.176883
44,1,6633,6633,1.178045
45,1,6708,6708,1.183150
46,1,6782,6782,1.177693
47,1,6855,6855,1.183413
48,1,6928,6928,1.177660
49,1,7000,7000,1.188186
50,1,7071,7071,1.176528
51,1,7141,7141,1.186121
52,1,7211,7211,1.183138
53,1,7280,7280,1.186110
54,1,7348,7348,1.181066
55,1,7416,7416,1.191889
56,1,7483,7483,1.184410
57,1,7549,7549,1.185207
58,1,7615,7615,1.179529
59,1,7681,7681,1.190650
60,1,7745,7745,1.181405
61,1,7810,7810,1.194405
62,1,7874,7874,1.186435
63,1,7937,7937,1.194256
64,1,8000,8000,1.195144
65,1,8062,8062,1.198938
66,1,8124,8124,1.189273
67,1,8185,8185,1.195904
68,1,8246,8246,1.191368
69,1,8306,8306,1.198152
70,1,8366,8366,1.200755
71,1,8426,8426,1.206108
72,1,8485,8485,
73,1,8544,8544,1.206611
74,1,8602,8602,1.195806
75,1,8660,8660,1.200523
76,1,8717,8717,1.200940
77,1,8774,8774,1.207141
78,1,8831,8831,1.193199
79,1,8888,8888,1.211124
80,1,8944,8944,1.201491
81,1,9000,9000,1.206074
82,1,9055,9055,1.198063
83,1,9110,9110,1.211072
84,1,9165,9165,1.196777
85,1,9219,9219,1.201802
86,1,9273,9273,1.200795
87,1,9327,9327,1.205807
88,1,9380,9380,1.212979
89,1,9433,9433,1.211388
90,1,9486,9486,1.205115
91,1,9539,9539,1.213040
92,1,9591,9591,1.203717
93,1,9643,9643,1.214391
94,1,9695,9695,1.203838
95,1,9746,9746,1.220954
96,1,9797,9797,1.205242
97,1,9848,9848,1.221102
98,1,9899,9899,1.211367
99,1,9949,9949,1.206328
100,1,10000,10000,1.209265
101,1,10049,10049,1.208134
102,1,10099,10099,1.206535
103,1,10148,10148,1.223122
104,1,10198,10198,1.210122
105,1,10246,10246,
106,1,10295,10295,1.209417
107,1,10344,10344,1.224961
108,1,10392,10392,1.215056
109,1,10440,10440,1.226071
110,1,10488,10488,1.216478
111,1,10535,10535,1.228529
112,1,10583,10583,1.215513
113,1,10630,10630,1.227303
114,1,10677,10677,1.223690
115,1,10723,10723,1.221001
116,1,10770,10770,1.222096
117,1,10816,10816,1.218066
118,1,10862,10862,1.216929
