cores,threads,width,height,time
1,1,1000,1000,0.555505
1,2,1414,1414,0.572079
1,3,1732,1732,0.578126
1,4,2000,2000,0.581580
1,5,2236,2236,0.582836
1,6,2449,2449,0.584734
1,7,2645,2645,0.584794
1,8,2828,2828,0.593818
1,9,3000,3000,0.587299
1,10,3162,3162,0.588030
1,11,3316,3316,0.588736
1,12,3464,3464,0.589640
1,13,3605,3605,0.589939
1,14,3741,3741,0.590583
1,15,3872,3872,0.591377
1,16,4000,4000,0.591398
1,17,4123,4123,0.592540
1,18,4242,4242,0.592484
1,19,4358,4358,0.592597
1,20,4472,4472,0.593755
1,21,4582,4582,0.593730
1,22,4690,4690,0.594822
1,23,4795,4795,0.595376
1,24,4898,4898,0.596755
1,25,5000,5000,0.596908
1,26,5099,5099,0.597067
1,27,5196,5196,0.597373
1,28,5291,5291,0.598071
1,29,5385,5385,0.598366
1,30,5477,5477,0.598821
1,31,5567,5567,0.598349
1,32,5656,5656,0.598836
1,33,5744,5744,0.600208
1,34,5830,5830,0.600096
1,35,5916,5916,0.600938
1,36,6000,6000,0.601161
1,37,6082,6082,0.601601
1,38,6164,6164,0.602160
1,39,6244,6244,0.603064
1,40,6324,6324,0.603680
1,41,6403,6403,0.604069
1,42,6480,6480,0.604258
1,43,6557,6557,0.604801
1,44,6633,6633,0.605590
1,45,6708,6708,0.605358
1,46,6782,6782,0.605904
1,47,6855,6855,0.607015
1,48,6928,6928,0.607818
1,49,7000,7000,0.607659
1,50,7071,7071,0.608381
1,51,7141,7141,0.610280
1,52,7211,7211,0.609628
1,53,7280,7280,0.610060
1,54,7348,7348,0.610318
1,55,7416,7416,0.611481
1,56,7483,7483,0.611921
1,57,7549,7549,0.612076
1,58,7615,7615,0.612460
1,59,7681,7681,0.613165
1,60,7745,7745,0.615136
1,61,7810,7810,0.614224
1,62,7874,7874,0.615640
1,63,7937,7937,0.615309
1,64,8000,8000,0.613373
1,65,8062,8062,0.626712
1,66,8124,8124,0.635364
1,67,8185,8185,0.644259
1,68,8246,8246,0.653046
1,69,8306,8306,0.661375
1,70,8366,8366,0.670165
1,71,8426,8426,0.679401
1,72,8485,8485,0.687726
1,73,8544,8544,0.696617
1,74,8602,8602,0.705399
1,75,8660,8660,0.714266
1,76,8717,8717,0.722854
1,77,8774,8774,0.731419
1,78,8831,8831,0.739731
1,79,8888,8888,0.748785
1,80,8944,8944,0.757624
1,81,9000,9000,0.766357
1,82,9055,9055,0.775072
1,83,9110,9110,0.784178
1,84,9165,9165,0.791890
1,85,9219,9219,0.801998
1,86,9273,9273,0.810501
1,87,9327,9327,0.819107
1,88,9380,9380,0.829134
1,89,9433,9433,0.836839
1,90,9486,9486,0.847156
1,91,9539,9539,0.855031
1,92,9591,9591,0.864523
1,93,9643,9643,0.873177
1,94,9695,9695,0.880967
1,95,9746,9746,0.892527
1,96,9797,9797,0.898158
1,97,9848,9848,0.906463
1,98,9899,9899,0.916284
1,99,9949,9949,0.924002
1,100,10000,10000,0.932571
1,101,10049,10049,0.941674
1,102,10099,10099,0.950271
1,103,10148,10148,0.959466
1,104,10198,10198,0.967842
1,105,10246,10246,0.976852
1,106,10295,10295,0.985146
1,107,10344,10344,0.994192
1,108,10392,10392,1.005306
1,109,10440,10440,1.011155
1,110,10488,10488,1.021175
1,111,10535,10535,1.028760
1,112,10583,10583,1.038819
1,113,10630,10630,1.047249
1,114,10677,10677,1.055544
1,115,10723,10723,1.067713
1,116,10770,10770,1.073988
1,117,10816,10816,1.081314
1,118,10862,10862,1.090598
1,119,10908,10908,1.102147
1,120,10954,10954,1.107474
1,121,11000,11000,1.119306
1,122,11045,11045,1.129150
1,123,11090,11090,1.136432
1,124,11135,11135,1.144648
1,125,11180,11180,1.152585
1,126,11224,11224,1.162044
1,127,11269,11269,1.170704
1,128,11313,11313,1.181020
