cores,threads,width,height,time
1,1,1000,1000,0.558405
1,2,1414,1414,0.558528
1,3,1732,1732,0.557733
1,4,2000,2000,0.555795
1,5,2236,2236,0.556794
1,6,2449,2449,0.556909
1,7,2645,2645,0.557412
1,8,2828,2828,0.557554
1,9,3000,3000,0.558764
1,10,3162,3162,0.558914
1,11,3316,3316,0.559203
1,12,3464,3464,0.559984
1,13,3605,3605,0.560206
1,14,3741,3741,0.561035
1,15,3872,3872,0.563134
1,16,4000,4000,0.562784
1,17,4123,4123,0.562872
1,18,4242,4242,0.563051
1,19,4358,4358,0.563243
1,20,4472,4472,0.563292
1,21,4582,4582,0.564273
1,22,4690,4690,0.564666
1,23,4795,4795,0.564782
1,24,4898,4898,0.566365
1,25,5000,5000,0.566225
1,26,5099,5099,0.566670
1,27,5196,5196,0.566867
1,28,5291,5291,0.567083
1,29,5385,5385,0.567239
1,30,5477,5477,0.568134
1,31,5567,5567,0.568246
1,32,5656,5656,0.568598
1,33,5744,5744,0.569125
1,34,5830,5830,0.569754
1,35,5916,5916,0.570108
1,36,6000,6000,0.570939
1,37,6082,6082,0.571332
1,38,6164,6164,0.571542
1,39,6244,6244,0.571785
1,40,6324,6324,0.573016
1,41,6403,6403,0.572652
1,42,6480,6480,0.573250
1,43,6557,6557,0.573691
1,44,6633,6633,0.574362
1,45,6708,6708,0.574596
1,46,6782,6782,0.575196
1,47,6855,6855,0.576227
1,48,6928,6928,0.576454
1,49,7000,7000,0.576869
1,50,7071,7071,0.577192
1,51,7141,7141,0.577592
1,52,7211,7211,0.577968
1,53,7280,7280,0.579277
1,54,7348,7348,0.579028
1,55,7416,7416,0.579580
1,56,7483,7483,0.580100
1,57,7549,7549,0.580374
1,58,7615,7615,0.580968
1,59,7681,7681,0.581034
1,60,7745,7745,0.581872
1,61,7810,7810,0.582649
1,62,7874,7874,0.582745
1,63,7937,7937,0.582843
1,64,8000,8000,0.583248
1,65,8062,8062,0.593226
1,66,8124,8124,0.602456
1,67,8185,8185,0.610878
1,68,8246,8246,0.620472
1,69,8306,8306,0.629038
1,70,8366,8366,0.638618
1,71,8426,8426,0.648570
1,72,8485,8485,0.657112
1,73,8544,8544,0.665877
1,74,8602,8602,0.675329
1,75,8660,8660,0.683518
1,76,8717,8717,0.692653
1,77,8774,8774,0.701876
1,78,8831,8831,0.711756
1,79,8888,8888,0.720585
1,80,8944,8944,0.730836
1,81,9000,9000,0.738887
1,82,9055,9055,0.747730
1,83,9110,9110,0.756523
1,84,9165,9165,0.765495
1,85,9219,9219,0.774706
1,86,9273,9273,0.783803
1,87,9327,9327,0.793099
1,88,9380,9380,0.802719
1,89,9433,9433,0.811584
1,90,9486,9486,0.821994
1,91,9539,9539,0.829329
1,92,9591,9591,0.840019
1,93,9643,9643,0.848303
1,94,9695,9695,0.857266
1,95,9746,9746,0.865975
1,96,9797,9797,0.874936
1,97,9848,9848,0.884426
1,98,9899,9899,0.893170
1,99,9949,9949,0.903464
1,100,10000,10000,0.912863
1,101,10049,10049,0.921256
1,102,10099,10099,0.929582
1,103,10148,10148,0.938409
1,104,10198,10198,0.947870
1,105,10246,10246,0.956994
1,106,10295,10295,0.965941
1,107,10344,10344,0.976410
1,108,10392,10392,0.985002
1,109,10440,10440,0.996345
1,110,10488,10488,1.003513
1,111,10535,10535,1.012777
1,112,10583,10583,1.020410
1,113,10630,10630,1.030522
1,114,10677,10677,1.039284
1,115,10723,10723,1.048463
1,116,10770,10770,1.060672
1,117,10816,10816,1.067582
1,118,10862,10862,1.076514
1,119,10908,10908,1.086882
1,120,10954,10954,1.093983
1,121,11000,11000,1.103005
1,122,11045,11045,1.112843
1,123,11090,11090,1.123410
1,124,11135,11135,1.131255
1,125,11180,11180,1.140744
1,126,11224,11224,1.148201
1,127,11269,11269,1.157901
1,128,11313,11313,1.168561
