COLS: cores=1, threads=1, width=10000, height=10000, time=55.537093
COLS: cores=2, threads=1, width=10000, height=10000, time=39.090108
COLS: cores=3, threads=1, width=10000, height=10000, time=35.173702
COLS: cores=4, threads=1, width=10000, height=10000, time=34.540792
COLS: cores=5, threads=1, width=10000, height=10000, time=25.665395
COLS: cores=6, threads=1, width=10000, height=10000, time=24.193862
COLS: cores=7, threads=1, width=10000, height=10000, time=21.478431
COLS: cores=8, threads=1, width=10000, height=10000, time=17.364728
COLS: cores=9, threads=1, width=10000, height=10000, time=17.243265
COLS: cores=10, threads=1, width=10000, height=10000, time=15.503658
COLS: cores=11, threads=1, width=10000, height=10000, time=13.857279
COLS: cores=12, threads=1, width=10000, height=10000, time=13.613469
COLS: cores=13, threads=1, width=10000, height=10000, time=11.933496
COLS: cores=14, threads=1, width=10000, height=10000, time=11.547476
COLS: cores=15, threads=1, width=10000, height=10000, time=11.126100
COLS: cores=16, threads=1, width=10000, height=10000, time=9.631354
COLS: cores=17, threads=1, width=10000, height=10000, time=9.957503
COLS: cores=18, threads=1, width=10000, height=10000, time=9.255802
COLS: cores=19, threads=1, width=10000, height=10000, time=8.567235
COLS: cores=20, threads=1, width=10000, height=10000, time=8.688758
COLS: cores=21, threads=1, width=10000, height=10000, time=7.903927
COLS: cores=22, threads=1, width=10000, height=10000, time=7.802122
COLS: cores=23, threads=1, width=10000, height=10000, time=7.578655
COLS: cores=24, threads=1, width=10000, height=10000, time=6.834020
COLS: cores=25, threads=1, width=10000, height=10000, time=7.003137
COLS: cores=26, threads=1, width=10000, height=10000, time=6.682967
COLS: cores=27, threads=1, width=10000, height=10000, time=6.323808
COLS: cores=28, threads=1, width=10000, height=10000, time=6.305169
COLS: cores=29, threads=1, width=10000, height=10000, time=5.979981
COLS: cores=30, threads=1, width=10000, height=10000, time=5.831890
COLS: cores=31, threads=1, width=10000, height=10000, time=5.700919
COLS: cores=32, threads=1, width=10000, height=10000, time=5.357568
COLS: cores=33, threads=1, width=10000, height=10000, time=5.383774
COLS: cores=34, threads=1, width=10000, height=10000, time=5.213755
COLS: cores=35, threads=1, width=10000, height=10000, time=4.986707
COLS: cores=36, threads=1, width=10000, height=10000, time=4.971991
COLS: cores=37, threads=1, width=10000, height=10000, time=4.767916
COLS: cores=38, threads=1, width=10000, height=10000, time=4.658803
COLS: cores=39, threads=1, width=10000, height=10000, time=4.589578
--------------------------------------------------------------------------
An ORTE daemon has unexpectedly failed after launch and before
communicating back to mpirun. This could be caused by a number
of factors, including an inability to create a connection back
to mpirun due to a lack of common network interfaces and/or no
route found between them. Please check network connectivity
(including firewalls and network routing requirements).
--------------------------------------------------------------------------
COLS: cores=40, threads=1, width=10000, height=10000, time=
COLS: cores=41, threads=1, width=10000, height=10000, time=4.349785
COLS: cores=42, threads=1, width=10000, height=10000, time=4.260791
COLS: cores=43, threads=1, width=10000, height=10000, time=4.071457
COLS: cores=44, threads=1, width=10000, height=10000, time=4.088388
COLS: cores=45, threads=1, width=10000, height=10000, time=3.962319
COLS: cores=46, threads=1, width=10000, height=10000, time=3.852781
COLS: cores=47, threads=1, width=10000, height=10000, time=3.840548
COLS: cores=48, threads=1, width=10000, height=10000, time=3.694552
COLS: cores=49, threads=1, width=10000, height=10000, time=3.658090
COLS: cores=50, threads=1, width=10000, height=10000, time=3.622405
COLS: cores=51, threads=1, width=10000, height=10000, time=3.459672
COLS: cores=52, threads=1, width=10000, height=10000, time=3.470375
COLS: cores=53, threads=1, width=10000, height=10000, time=3.393384
COLS: cores=54, threads=1, width=10000, height=10000, time=3.297421
COLS: cores=55, threads=1, width=10000, height=10000, time=3.309531
COLS: cores=56, threads=1, width=10000, height=10000, time=3.176199
COLS: cores=57, threads=1, width=10000, height=10000, time=3.153054
COLS: cores=58, threads=1, width=10000, height=10000, time=3.133657
COLS: cores=59, threads=1, width=10000, height=10000, time=3.007854
COLS: cores=60, threads=1, width=10000, height=10000, time=3.031451
COLS: cores=61, threads=1, width=10000, height=10000, time=2.982287
COLS: cores=62, threads=1, width=10000, height=10000, time=2.889611
COLS: cores=63, threads=1, width=10000, height=10000, time=2.901403
COLS: cores=64, threads=1, width=10000, height=10000, time=2.813341
COLS: cores=65, threads=1, width=10000, height=10000, time=2.785145
COLS: cores=66, threads=1, width=10000, height=10000, time=2.758697
COLS: cores=67, threads=1, width=10000, height=10000, time=2.668897
COLS: cores=68, threads=1, width=10000, height=10000, time=2.675212
COLS: cores=69, threads=1, width=10000, height=10000, time=2.644488
COLS: cores=70, threads=1, width=10000, height=10000, time=2.571125
COLS: cores=71, threads=1, width=10000, height=10000, time=2.581433
COLS: cores=72, threads=1, width=10000, height=10000, time=2.532474
COLS: cores=73, threads=1, width=10000, height=10000, time=2.477278
COLS: cores=74, threads=1, width=10000, height=10000, time=2.477827
COLS: cores=75, threads=1, width=10000, height=10000, time=2.401326
COLS: cores=76, threads=1, width=10000, height=10000, time=2.401167
