STRIPS OMP: cores=1, threads=1, width=10000, height=10000, time=55.842760
STRIPS OMP: cores=1, threads=2, width=10000, height=10000, time=27.773896
STRIPS OMP: cores=1, threads=3, width=10000, height=10000, time=18.574382
STRIPS OMP: cores=1, threads=4, width=10000, height=10000, time=13.975041
STRIPS OMP: cores=1, threads=5, width=10000, height=10000, time=11.144427
STRIPS OMP: cores=1, threads=6, width=10000, height=10000, time=9.339650
STRIPS OMP: cores=1, threads=7, width=10000, height=10000, time=7.981237
STRIPS OMP: cores=1, threads=8, width=10000, height=10000, time=6.990064
STRIPS OMP: cores=1, threads=9, width=10000, height=10000, time=6.213319
STRIPS OMP: cores=1, threads=10, width=10000, height=10000, time=5.603347
STRIPS OMP: cores=1, threads=11, width=10000, height=10000, time=5.105760
STRIPS OMP: cores=1, threads=12, width=10000, height=10000, time=4.676985
STRIPS OMP: cores=1, threads=13, width=10000, height=10000, time=4.325478
STRIPS OMP: cores=1, threads=14, width=10000, height=10000, time=4.015917
STRIPS OMP: cores=1, threads=15, width=10000, height=10000, time=3.759333
STRIPS OMP: cores=1, threads=16, width=10000, height=10000, time=3.518790
STRIPS OMP: cores=1, threads=17, width=10000, height=10000, time=3.317441
STRIPS OMP: cores=1, threads=18, width=10000, height=10000, time=3.146086
STRIPS OMP: cores=1, threads=19, width=10000, height=10000, time=2.975784
STRIPS OMP: cores=1, threads=20, width=10000, height=10000, time=2.822989
STRIPS OMP: cores=1, threads=21, width=10000, height=10000, time=2.692730
STRIPS OMP: cores=1, threads=22, width=10000, height=10000, time=2.572957
STRIPS OMP: cores=1, threads=23, width=10000, height=10000, time=2.464609
STRIPS OMP: cores=1, threads=24, width=10000, height=10000, time=2.365608
STRIPS OMP: cores=1, threads=25, width=10000, height=10000, time=2.275035
STRIPS OMP: cores=1, threads=26, width=10000, height=10000, time=2.193136
STRIPS OMP: cores=1, threads=27, width=10000, height=10000, time=2.118464
STRIPS OMP: cores=1, threads=28, width=10000, height=10000, time=2.054852
STRIPS OMP: cores=1, threads=29, width=10000, height=10000, time=1.986869
STRIPS OMP: cores=1, threads=30, width=10000, height=10000, time=1.920801
STRIPS OMP: cores=1, threads=31, width=10000, height=10000, time=1.843913
STRIPS OMP: cores=1, threads=32, width=10000, height=10000, time=1.788700
STRIPS OMP: cores=1, threads=33, width=10000, height=10000, time=1.734423
STRIPS OMP: cores=1, threads=34, width=10000, height=10000, time=1.675931
STRIPS OMP: cores=1, threads=35, width=10000, height=10000, time=1.629939
STRIPS OMP: cores=1, threads=36, width=10000, height=10000, time=1.584919
STRIPS OMP: cores=1, threads=37, width=10000, height=10000, time=1.543915
STRIPS OMP: cores=1, threads=38, width=10000, height=10000, time=1.502270
STRIPS OMP: cores=1, threads=39, width=10000, height=10000, time=1.466692
STRIPS OMP: cores=1, threads=40, width=10000, height=10000, time=1.429884
STRIPS OMP: cores=1, threads=41, width=10000, height=10000, time=1.395521
STRIPS OMP: cores=1, threads=42, width=10000, height=10000, time=1.363515
STRIPS OMP: cores=1, threads=43, width=10000, height=10000, time=1.392123
STRIPS OMP: cores=1, threads=44, width=10000, height=10000, time=1.302414
STRIPS OMP: cores=1, threads=45, width=10000, height=10000, time=1.274850
STRIPS OMP: cores=1, threads=46, width=10000, height=10000, time=1.251211
STRIPS OMP: cores=1, threads=47, width=10000, height=10000, time=1.223597
STRIPS OMP: cores=1, threads=48, width=10000, height=10000, time=1.198289
STRIPS OMP: cores=1, threads=49, width=10000, height=10000, time=1.173841
STRIPS OMP: cores=1, threads=50, width=10000, height=10000, time=1.151143
STRIPS OMP: cores=1, threads=51, width=10000, height=10000, time=1.130029
STRIPS OMP: cores=1, threads=52, width=10000, height=10000, time=1.110705
STRIPS OMP: cores=1, threads=53, width=10000, height=10000, time=1.089125
STRIPS OMP: cores=1, threads=54, width=10000, height=10000, time=1.069860
STRIPS OMP: cores=1, threads=55, width=10000, height=10000, time=1.052160
STRIPS OMP: cores=1, threads=56, width=10000, height=10000, time=1.033358
STRIPS OMP: cores=1, threads=57, width=10000, height=10000, time=1.019558
STRIPS OMP: cores=1, threads=58, width=10000, height=10000, time=1.000548
STRIPS OMP: cores=1, threads=59, width=10000, height=10000, time=0.983874
STRIPS OMP: cores=1, threads=60, width=10000, height=10000, time=0.967711
STRIPS OMP: cores=1, threads=61, width=10000, height=10000, time=0.953746
STRIPS OMP: cores=1, threads=62, width=10000, height=10000, time=0.938869
STRIPS OMP: cores=1, threads=63, width=10000, height=10000, time=0.924061
STRIPS OMP: cores=1, threads=64, width=10000, height=10000, time=0.910360
STRIPS OMP: cores=1, threads=65, width=10000, height=10000, time=0.910817
STRIPS OMP: cores=1, threads=66, width=10000, height=10000, time=0.910488
STRIPS OMP: cores=1, threads=67, width=10000, height=10000, time=0.910623
STRIPS OMP: cores=1, threads=68, width=10000, height=10000, time=0.910349
STRIPS OMP: cores=1, threads=69, width=10000, height=10000, time=0.913949
STRIPS OMP: cores=1, threads=70, width=10000, height=10000, time=0.911621
STRIPS OMP: cores=1, threads=71, width=10000, height=10000, time=0.911083
STRIPS OMP: cores=1, threads=72, width=10000, height=10000, time=0.912336
STRIPS OMP: cores=1, threads=73, width=10000, height=10000, time=0.910767
STRIPS OMP: cores=1, threads=74, width=10000, height=10000, time=0.911074
STRIPS OMP: cores=1, threads=75, width=10000, height=10000, time=0.910995
STRIPS OMP: cores=1, threads=76, width=10000, height=10000, time=0.911154
STRIPS OMP: cores=1, threads=77, width=10000, height=10000, time=0.911253
STRIPS OMP: cores=1, threads=78, width=10000, height=10000, time=0.911018
STRIPS OMP: cores=1, threads=79, width=10000, height=10000, time=0.911336
STRIPS OMP: cores=1, threads=80, width=10000, height=10000, time=0.911312
STRIPS OMP: cores=1, threads=81, width=10000, height=10000, time=0.913098
STRIPS OMP: cores=1, threads=82, width=10000, height=10000, time=0.912044
STRIPS OMP: cores=1, threads=83, width=10000, height=10000, time=0.912975
STRIPS OMP: cores=1, threads=84, width=10000, height=10000, time=0.911902
STRIPS OMP: cores=1, threads=85, width=10000, height=10000, time=0.912285
STRIPS OMP: cores=1, threads=86, width=10000, height=10000, time=0.911968
STRIPS OMP: cores=1, threads=87, width=10000, height=10000, time=0.911674
STRIPS OMP: cores=1, threads=88, width=10000, height=10000, time=0.911387
STRIPS OMP: cores=1, threads=89, width=10000, height=10000, time=0.912107
STRIPS OMP: cores=1, threads=90, width=10000, height=10000, time=0.911625
STRIPS OMP: cores=1, threads=91, width=10000, height=10000, time=0.912025
STRIPS OMP: cores=1, threads=92, width=10000, height=10000, time=0.911847
STRIPS OMP: cores=1, threads=93, width=10000, height=10000, time=0.914580
STRIPS OMP: cores=1, threads=94, width=10000, height=10000, time=0.912771
STRIPS OMP: cores=1, threads=95, width=10000, height=10000, time=0.912503
STRIPS OMP: cores=1, threads=96, width=10000, height=10000, time=0.912044
STRIPS OMP: cores=1, threads=97, width=10000, height=10000, time=0.912908
STRIPS OMP: cores=1, threads=98, width=10000, height=10000, time=0.911630
--------------------------------------------------------------------------
An ORTE daemon has unexpectedly failed after launch and before
communicating back to mpirun. This could be caused by a number
of factors, including an inability to create a connection back
to mpirun due to a lack of common network interfaces and/or no
route found between them. Please check network connectivity
(including firewalls and network routing requirements).
--------------------------------------------------------------------------
STRIPS OMP: cores=1, threads=99, width=10000, height=10000, time=
STRIPS OMP: cores=1, threads=100, width=10000, height=10000, time=0.913331
STRIPS OMP: cores=1, threads=101, width=10000, height=10000, time=0.912438
STRIPS OMP: cores=1, threads=102, width=10000, height=10000, time=0.914017
STRIPS OMP: cores=1, threads=103, width=10000, height=10000, time=0.913723
STRIPS OMP: cores=1, threads=104, width=10000, height=10000, time=0.912079
STRIPS OMP: cores=1, threads=105, width=10000, height=10000, time=0.912413
