MPI-STRIPS-WEAK: cores=1, threads=1, width=1000, height=1000, time=0.562835
MPI-STRIPS-WEAK: cores=2, threads=1, width=1414, height=1414, time=0.559203
MPI-STRIPS-WEAK: cores=3, threads=1, width=1732, height=1732, time=0.337233
MPI-STRIPS-WEAK: cores=4, threads=1, width=2000, height=2000, time=0.330340
MPI-STRIPS-WEAK: cores=5, threads=1, width=2236, height=2236, time=0.134036
MPI-STRIPS-WEAK: cores=6, threads=1, width=2449, height=2449, time=0.085764
MPI-STRIPS-WEAK: cores=7, threads=1, width=2645, height=2645, time=0.092413
MPI-STRIPS-WEAK: cores=8, threads=1, width=2828, height=2828, time=0.041516
MPI-STRIPS-WEAK: cores=9, threads=1, width=3000, height=3000, time=0.026771
MPI-STRIPS-WEAK: cores=10, threads=1, width=3162, height=3162, time=0.030351
MPI-STRIPS-WEAK: cores=11, threads=1, width=3316, height=3316, time=0.050397
MPI-STRIPS-WEAK: cores=12, threads=1, width=3464, height=3464, time=0.023014
MPI-STRIPS-WEAK: cores=13, threads=1, width=3605, height=3605, time=0.041531
MPI-STRIPS-WEAK: cores=14, threads=1, width=3741, height=3741, time=0.024596
MPI-STRIPS-WEAK: cores=15, threads=1, width=3872, height=3872, time=0.022435
MPI-STRIPS-WEAK: cores=16, threads=1, width=4000, height=4000, time=0.021818
MPI-STRIPS-WEAK: cores=17, threads=1, width=4123, height=4123, time=0.033171
MPI-STRIPS-WEAK: cores=18, threads=1, width=4242, height=4242, time=0.021995
MPI-STRIPS-WEAK: cores=19, threads=1, width=4358, height=4358, time=0.031800
MPI-STRIPS-WEAK: cores=20, threads=1, width=4472, height=4472, time=0.021328
MPI-STRIPS-WEAK: cores=21, threads=1, width=4582, height=4582, time=0.021862
MPI-STRIPS-WEAK: cores=22, threads=1, width=4690, height=4690, time=0.023673
MPI-STRIPS-WEAK: cores=23, threads=1, width=4795, height=4795, time=0.031011
MPI-STRIPS-WEAK: cores=24, threads=1, width=4898, height=4898, time=0.021126
MPI-STRIPS-WEAK: cores=25, threads=1, width=5000, height=5000, time=0.020774
MPI-STRIPS-WEAK: cores=26, threads=1, width=5099, height=5099, time=0.023526
MPI-STRIPS-WEAK: cores=27, threads=1, width=5196, height=5196, time=0.021805
MPI-STRIPS-WEAK: cores=28, threads=1, width=5291, height=5291, time=0.021028
MPI-STRIPS-WEAK: cores=29, threads=1, width=5385, height=5385, time=0.030791
MPI-STRIPS-WEAK: cores=30, threads=1, width=5477, height=5477, time=0.020067
MPI-STRIPS-WEAK: cores=31, threads=1, width=5567, height=5567, time=0.030659
MPI-STRIPS-WEAK: cores=32, threads=1, width=5656, height=5656, time=0.020785
MPI-STRIPS-WEAK: cores=33, threads=1, width=5744, height=5744, time=0.021575
MPI-STRIPS-WEAK: cores=34, threads=1, width=5830, height=5830, time=0.023371
MPI-STRIPS-WEAK: cores=35, threads=1, width=5916, height=5916, time=0.020042
MPI-STRIPS-WEAK: cores=36, threads=1, width=6000, height=6000, time=0.019426
MPI-STRIPS-WEAK: cores=37, threads=1, width=6082, height=6082, time=0.030920
MPI-STRIPS-WEAK: cores=38, threads=1, width=6164, height=6164, time=0.023276
MPI-STRIPS-WEAK: cores=39, threads=1, width=6244, height=6244, time=0.021570
MPI-STRIPS-WEAK: cores=40, threads=1, width=6324, height=6324, time=0.019847
MPI-STRIPS-WEAK: cores=41, threads=1, width=6403, height=6403, time=0.031148
MPI-STRIPS-WEAK: cores=42, threads=1, width=6480, height=6480, time=0.019041
MPI-STRIPS-WEAK: cores=43, threads=1, width=6557, height=6557, time=0.031082
MPI-STRIPS-WEAK: cores=44, threads=1, width=6633, height=6633, time=0.020442
--------------------------------------------------------------------------
An ORTE daemon has unexpectedly failed after launch and before
communicating back to mpirun. This could be caused by a number
of factors, including an inability to create a connection back
to mpirun due to a lack of common network interfaces and/or no
route found between them. Please check network connectivity
(including firewalls and network routing requirements).
--------------------------------------------------------------------------
MPI-STRIPS-WEAK: cores=45, threads=1, width=6708, height=6708, time=
MPI-STRIPS-WEAK: cores=46, threads=1, width=6782, height=6782, time=0.023472
MPI-STRIPS-WEAK: cores=47, threads=1, width=6855, height=6855, time=0.031160
MPI-STRIPS-WEAK: cores=48, threads=1, width=6928, height=6928, time=0.019343
MPI-STRIPS-WEAK: cores=49, threads=1, width=7000, height=7000, time=0.018647
MPI-STRIPS-WEAK: cores=50, threads=1, width=7071, height=7071, time=0.019809
MPI-STRIPS-WEAK: cores=51, threads=1, width=7141, height=7141, time=0.021509
MPI-STRIPS-WEAK: cores=52, threads=1, width=7211, height=7211, time=0.020538
MPI-STRIPS-WEAK: cores=53, threads=1, width=7280, height=7280, time=0.031298
MPI-STRIPS-WEAK: cores=54, threads=1, width=7348, height=7348, time=0.019236
MPI-STRIPS-WEAK: cores=55, threads=1, width=7416, height=7416, time=0.020071
MPI-STRIPS-WEAK: cores=56, threads=1, width=7483, height=7483, time=0.018567
MPI-STRIPS-WEAK: cores=57, threads=1, width=7549, height=7549, time=0.021734
MPI-STRIPS-WEAK: cores=58, threads=1, width=7615, height=7615, time=0.023534
MPI-STRIPS-WEAK: cores=59, threads=1, width=7681, height=7681, time=0.031732
MPI-STRIPS-WEAK: cores=60, threads=1, width=7745, height=7745, time=0.019305
MPI-STRIPS-WEAK: cores=61, threads=1, width=7810, height=7810, time=0.031851
MPI-STRIPS-WEAK: cores=62, threads=1, width=7874, height=7874, time=0.024004
MPI-STRIPS-WEAK: cores=63, threads=1, width=7937, height=7937, time=0.018815
MPI-STRIPS-WEAK: cores=64, threads=1, width=8000, height=8000, time=0.018631
MPI-STRIPS-WEAK: cores=65, threads=1, width=8062, height=8062, time=0.020322
MPI-STRIPS-WEAK: cores=66, threads=1, width=8124, height=8124, time=0.019813
MPI-STRIPS-WEAK: cores=67, threads=1, width=8185, height=8185, time=0.032028
MPI-STRIPS-WEAK: cores=68, threads=1, width=8246, height=8246, time=0.021280
MPI-STRIPS-WEAK: cores=69, threads=1, width=8306, height=8306, time=0.022111
MPI-STRIPS-WEAK: cores=70, threads=1, width=8366, height=8366, time=0.019090
MPI-STRIPS-WEAK: cores=71, threads=1, width=8426, height=8426, time=0.031619
MPI-STRIPS-WEAK: cores=72, threads=1, width=8485, height=8485, time=0.018453
MPI-STRIPS-WEAK: cores=73, threads=1, width=8544, height=8544, time=0.031805
MPI-STRIPS-WEAK: cores=74, threads=1, width=8602, height=8602, time=0.023598
MPI-STRIPS-WEAK: cores=75, threads=1, width=8660, height=8660, time=0.020190
MPI-STRIPS-WEAK: cores=76, threads=1, width=8717, height=8717, time=0.020837
MPI-STRIPS-WEAK: cores=77, threads=1, width=8774, height=8774, time=0.018799
MPI-STRIPS-WEAK: cores=78, threads=1, width=8831, height=8831, time=0.018898
MPI-STRIPS-WEAK: cores=79, threads=1, width=8888, height=8888, time=0.031976
MPI-STRIPS-WEAK: cores=80, threads=1, width=8944, height=8944, time=0.017882
MPI-STRIPS-WEAK: cores=81, threads=1, width=9000, height=9000, time=0.017717
MPI-STRIPS-WEAK: cores=82, threads=1, width=9055, height=9055, time=0.023430
MPI-STRIPS-WEAK: cores=83, threads=1, width=9110, height=9110, time=0.031884
MPI-STRIPS-WEAK: cores=84, threads=1, width=9165, height=9165, time=0.018550
MPI-STRIPS-WEAK: cores=85, threads=1, width=9219, height=9219, time=0.019846
MPI-STRIPS-WEAK: cores=86, threads=1, width=9273, height=9273, time=0.023550
MPI-STRIPS-WEAK: cores=87, threads=1, width=9327, height=9327, time=0.021884
MPI-STRIPS-WEAK: cores=88, threads=1, width=9380, height=9380, time=0.017656
MPI-STRIPS-WEAK: cores=89, threads=1, width=9433, height=9433, time=0.031837
MPI-STRIPS-WEAK: cores=90, threads=1, width=9486, height=9486, time=0.017658
MPI-STRIPS-WEAK: cores=91, threads=1, width=9539, height=9539, time=0.018472
MPI-STRIPS-WEAK: cores=92, threads=1, width=9591, height=9591, time=0.020864
MPI-STRIPS-WEAK: cores=93, threads=1, width=9643, height=9643, time=0.022027
MPI-STRIPS-WEAK: cores=94, threads=1, width=9695, height=9695, time=0.023499
MPI-STRIPS-WEAK: cores=95, threads=1, width=9746, height=9746, time=0.020099
MPI-STRIPS-WEAK: cores=96, threads=1, width=9797, height=9797, time=0.017792
MPI-STRIPS-WEAK: cores=97, threads=1, width=9848, height=9848, time=0.032220
MPI-STRIPS-WEAK: cores=98, threads=1, width=9899, height=9899, time=0.018342
